ID,read,dir,region,taxon,kingdom,phylum,class,order,family,genus,species,rank,cut-off,confidence,referenceID,blast.score,blast.sim,blast.coverage
SRR9211219,1728,F,ITS2,,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,N/A,N/A,KX516296,0.95238,0.95238,104.0
SRR9211220,10500,F,ITS2,Agaricomycetes sp,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_gen_Incertae_sedis,Agaricomycetes_sp,species,0.701,0.7281,UDB06360299,0.9871800000000001,0.9871800000000001,77.0
SRR9211220,12696,F,ITS2,Herpotrichiellaceae sp,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Herpotrichiellaceae_gen_Incertae_sedis,Herpotrichiellaceae_sp,species,0.891,0.8497,UDB03389069,0.98,0.98,99.0
SRR9211220,1859,F,ITS2,,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,N/A,N/A,UDB0748448,0.94565,0.94565,91.0
SRR9211220,2813,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0468470,1.0,1.0,104.0
SRR9211220,4016,F,ITS2,Agaricomycetes sp,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_gen_Incertae_sedis,Agaricomycetes_sp,species,0.701,0.7281,UDB06360299,0.9871800000000001,0.9871800000000001,77.0
SRR9211220,5634,F,ITS2,,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,N/A,N/A,KY522916,0.9703,0.9703,100.0
SRR9211220,6519,F,ITS2,Cladophialophora sp,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_sp,species,0.7,0.9573,UDB02977530,0.98214,0.98214,55.0
SRR9211220,9210,F,ITS2,Brevicellicium sp,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Brevicellicium,Brevicellicium_sp,species,0.943,0.7741,UDB0294388,0.99048,0.99048,104.0
SRR9211220,9343,F,ITS2,Entorrhiza sp,Fungi,Entorrhizomycota,Entorrhizomycetes,Entorrhizales,Entorrhizaceae,Entorrhiza,Entorrhiza_sp,species,0.7,0.6804,UDB05340819,0.96667,0.96667,59.0
SRR9211220,9472,F,ITS2,Brevicellicium sp,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Brevicellicium,Brevicellicium_sp,species,0.943,0.7741,UDB0294388,1.0,1.0,104.0
SRR9211221,1774,F,ITS2,Filobasidium magnum,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium_magnum,species,0.944,0.5213,AF190008,1.0,1.0,82.0
SRR9211222,10042,F,ITS2,Entoloma pruinosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_pruinosum,species,0.943,0.4748,MZ611656,0.9444400000000001,0.9444400000000001,71.0
SRR9211222,10185,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB01658513,0.96296,0.96296,80.0
SRR9211222,11032,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB0728486,0.95833,0.95833,71.0
SRR9211222,11414,F,ITS2,Solicoccozyma terricola,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola,species,0.92,0.4957,AF444350,0.9881,0.9881,83.0
SRR9211222,11576,F,ITS2,Solicoccozyma terricola,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola,species,0.92,0.4957,AF444350,0.96429,0.96429,81.0
SRR9211222,12511,F,ITS2,Solicoccozyma terricola,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola,species,0.92,0.4957,AF444350,0.9881,0.9881,83.0
SRR9211222,14341,F,ITS2,Entoloma,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,unidentified,genus,0.927,0.6279,MZ611656,0.9305599999999999,0.9305599999999999,71.0
SRR9211222,14391,F,ITS2,Leotia lubrica,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Leotia,Leotia_lubrica,species,0.945,0.5292,UDB02809991,1.0,1.0,104.0
SRR9211222,1659,F,ITS2,Piloderma sp,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Pilodermataceae,Piloderma,Piloderma_sp,species,0.947,0.7286,UDB04653362,0.98958,0.98958,191.0
SRR9211222,1839,F,ITS2,Russula sp,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_sp,species,0.7,0.7541,UDB05660394,0.9901000000000001,0.9901000000000001,100.0
SRR9211222,1889,F,ITS2,,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,N/A,N/A,UDB0750685,0.90741,0.90741,53.0
SRR9211222,1950,F,ITS2,Entoloma inusitatum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_inusitatum,species,0.943,0.4748,LN850543,0.9538500000000001,0.9538500000000001,63.0
SRR9211222,21,F,ITS2,Entoloma pruinosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_pruinosum,species,0.943,0.4748,MZ611656,0.95833,0.95833,71.0
SRR9211222,2150,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB0728486,0.95833,0.95833,71.0
SRR9211222,316,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB01658513,0.9647100000000001,0.9647100000000001,84.0
SRR9211222,3349,F,ITS2,Entoloma pruinosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_pruinosum,species,0.943,0.4748,MZ611656,0.9444400000000001,0.9444400000000001,71.0
SRR9211222,3787,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB0728486,0.9718300000000001,0.9718300000000001,70.0
SRR9211222,4012,F,ITS2,Agaricomycetes sp,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_gen_Incertae_sedis,Agaricomycetes_sp,species,0.701,0.7281,UDB06360299,1.0,1.0,76.0
SRR9211222,4055,F,ITS2,Cladophialophora sp,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_sp,species,0.7,0.9573,UDB02718873,1.0,1.0,108.0
SRR9211222,4480,F,ITS2,Entoloma griseorugulosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_griseorugulosum,species,0.943,0.4748,LN850588,0.9538500000000001,0.9538500000000001,63.0
SRR9211222,4712,F,ITS2,Entoloma pruinosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_pruinosum,species,0.943,0.4748,MZ611656,0.95833,0.95833,71.0
